CMDLINE c:\python36\python.exe great_circle.py
MEM 0.722656 1552709096.2319
MEM 15.152344 1552709096.3328
MEM 22.503906 1552709096.4337
MEM 29.207031 1552709096.5346
MEM 32.714844 1552709096.6355
MEM 32.828125 1552709096.7364
MEM 32.925781 1552709096.8373
MEM 33.003906 1552709096.9382
MEM 33.082031 1552709097.0391
MEM 33.097656 1552709097.1400
MEM 33.160156 1552709097.2409
MEM 33.253906 1552709097.3418
MEM 33.332031 1552709097.4427
MEM 33.347656 1552709097.5436
MEM 33.410156 1552709097.6445
MEM 33.468750 1552709097.7454
MEM 33.582031 1552709097.8463
MEM 33.593750 1552709097.9472
MEM 33.667969 1552709098.0481
MEM 33.746094 1552709098.1490
MEM 33.757812 1552709098.2499
MEM 34.054688 1552709098.3508
MEM 34.160156 1552709098.4517
MEM 34.511719 1552709098.5525
MEM 34.527344 1552709098.6535
MEM 34.910156 1552709098.7544
MEM 34.945312 1552709098.8553
MEM 35.062500 1552709098.9561
MEM 35.062500 1552709099.0570
MEM 35.125000 1552709099.1579
MEM 35.187500 1552709099.2588
MEM 35.195312 1552709099.3597
MEM 35.242188 1552709099.4606
MEM 35.312500 1552709099.5615
MEM 35.375000 1552709099.6624
MEM 35.437500 1552709099.7633
MEM 35.437500 1552709099.8642
MEM 35.480469 1552709099.9651
MEM 35.562500 1552709100.0660
MEM 35.625000 1552709100.1669
MEM 35.625000 1552709100.2678
MEM 35.687500 1552709100.3687
MEM 35.707031 1552709100.4696
MEM 35.812500 1552709100.5705
MEM 35.812500 1552709100.6714
MEM 35.875000 1552709100.7723
MEM 35.937500 1552709100.8732
MEM 35.937500 1552709100.9741
MEM 35.984375 1552709101.0750
MEM 36.062500 1552709101.1759
MEM 36.125000 1552709101.2768
MEM 36.125000 1552709101.3777
MEM 36.187500 1552709101.4786
MEM 36.218750 1552709101.5794
MEM 36.312500 1552709101.6803
